iter	Passed	Remaining
600	5182	3440
601	5189	3431
602	5197	3421
603	5204	3412
604	5211	3402
605	5219	3393
606	5226	3384
607	5234	3375
608	5242	3365
609	5249	3356
610	5256	3346
611	5263	3337
612	5270	3327
613	5278	3318
614	5285	3308
615	5292	3299
616	5298	3289
617	5307	3280
618	5314	3271
619	5321	3261
620	5328	3251
621	5335	3242
622	5342	3232
623	5349	3223
624	5357	3214
625	5364	3205
626	5372	3195
627	5379	3186
628	5386	3176
629	5393	3167
630	5400	3158
631	5407	3148
632	5414	3139
633	5422	3130
634	5429	3120
635	5437	3111
636	5444	3102
637	5458	3097
638	5472	3091
639	5479	3082
640	5486	3072
641	5493	3063
642	5500	3053
643	5507	3044
644	5514	3035
645	5522	3026
646	5528	3016
647	5537	3007
648	5544	2998
649	5551	2989
650	5558	2979
651	5566	2971
652	5573	2961
653	5581	2953
654	5588	2943
655	5595	2934
656	5602	2924
657	5611	2916
658	5618	2907
659	5625	2897
660	5632	2888
661	5638	2879
662	5646	2869
663	5653	2861
664	5662	2852
665	5670	2843
666	5677	2834
667	5684	2825
668	5690	2815
669	5697	2806
670	5704	2796
671	5711	2787
672	5718	2778
673	5725	2769
674	5732	2760
675	5740	2751
676	5747	2742
677	5755	2733
678	5761	2723
679	5768	2714
680	5776	2705
681	5784	2696
682	5791	2687
683	5800	2679
684	5807	2670
685	5814	2661
686	5822	2652
687	5828	2643
688	5836	2634
689	5843	2625
690	5849	2615
691	5857	2607
692	5865	2598
693	5873	2589
694	5881	2581
695	5890	2572
696	5898	2564
697	5907	2555
698	5914	2546
699	5921	2537
700	5928	2528
701	5937	2520
702	5943	2511
703	5953	2503
704	5960	2493
705	5967	2485
706	5974	2475
707	5981	2467
708	5989	2458
709	5996	2449
710	6003	2440
711	6011	2431
712	6019	2422
713	6025	2413
714	6032	2404
715	6040	2395
716	6047	2387
717	6054	2377
718	6061	2369
719	6068	2360
720	6076	2351
721	6083	2342
722	6090	2333
723	6099	2325
724	6106	2316
725	6114	2307
726	6121	2298
727	6129	2290
728	6136	2281
729	6143	2272
730	6150	2263
731	6159	2254
732	6166	2246
733	6172	2237
734	6181	2228
735	6188	2219
736	6195	2210
737	6203	2202
738	6210	2193
739	6217	2184
740	6224	2175
741	6231	2166
742	6239	2158
743	6246	2149
744	6252	2140
745	6260	2131
746	6267	2122
747	6274	2113
748	6281	2105
749	6289	2096
750	6296	2087
751	6303	2078
752	6310	2069
753	6320	2062
754	6332	2054
755	6350	2049
756	6365	2043
757	6372	2034
758	6380	2025
759	6390	2017
760	6397	2009
761	6409	2001
762	6419	1993
763	6426	1985
764	6435	1976
765	6441	1967
766	6449	1959
767	6455	1950
768	6463	1941
769	6469	1932
770	6476	1923
771	6483	1914
772	6491	1906
773	6498	1897
774	6505	1888
775	6512	1879
776	6519	1870
777	6527	1862
778	6535	1854
779	6542	1845
780	6549	1836
781	6556	1827
782	6563	1819
783	6570	1810
784	6577	1801
785	6584	1792
786	6591	1784
787	6598	1775
788	6607	1766
789	6616	1758
790	6624	1750
791	6630	1741
792	6638	1732
793	6644	1724
794	6653	1715
795	6659	1706
796	6666	1698
797	6674	1689
798	6681	1680
799	6688	1672
800	6694	1663
801	6701	1654
802	6708	1645
803	6716	1637
804	6723	1628
805	6730	1620
806	6738	1611
